id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_029_000099.1	interproscan	PTHR43102 domain-containing protein	462.903	2958.457	2704.195
Phum-OR502AA_029_000098.1	eggnog	ankyrin repeats	197	390	544
Phum-OR502AA_029_000097.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7485709.1	0	6	0
Phum-OR502AA_029_000026.1	interproscan	PTHR43102 domain-containing protein	0	74	217
Phum-OR502AA_029_000027.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2770497.1	115.396	269.267	483.069
Phum-OR502AA_029_000096.1	interproscan	PTHR43102 domain-containing protein	40.663	180.749	157.796
Phum-OR502AA_029_000095.1	interproscan	PTHR43102 domain-containing protein	127.219	1385.427	1687.335
Phum-OR502AA_029_000028.1	interproscan	PTHR43102 domain-containing protein	94.878	1248.116	1060.47
Phum-OR502AA_029_000029.1	interproscan	PTHR43102 domain-containing protein	37.337	137.251	141.204
Phum-OR502AA_029_000094.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2770497.1	150.604	364.733	684.931
Phum-OR502AA_029_000030.1	eggnog	Kelch	38	508	1043
Phum-OR502AA_029_000093.1	eggnog	Component of the core-TFIIH basal transcription factor involved in nucleotide excision repair (NER) of DNA	355	415	540
Phum-OR502AA_029_000031.1	eggnog	domain-containing protein	4	19	55
Phum-OR502AA_029_000092.1	eggnog	C-terminal domain of 1-Cys peroxiredoxin	6100	4347	6471
Phum-OR502AA_029_000032.1	eggnog	C-terminal domain of 1-Cys peroxiredoxin	34	99	117
Phum-OR502AA_029_000033.1	eggnog	RNase_H superfamily	189.12	288.696	432.327
Phum-OR502AA_029_000091.1	eggnog	HSA	195	308.016	472
Phum-OR502AA_029_000090.1	eggnog	RNase_H superfamily	13.88	53.304	61.673
Phum-OR502AA_029_000089.1	eggnog	C-terminal domain of 1-Cys peroxiredoxin	596	1294	1752
Phum-OR502AA_029_000034.1	eggnog	domain-containing protein	428	710	954
Phum-OR502AA_029_000035.1	blastp	Homology to Phytophthora megakarya predicted protein OWY94345.1	0	61	218
Phum-OR502AA_029_000088.1	eggnog	positive regulation of cell cycle G2/M phase transition	34	68	105
Phum-OR502AA_029_000087.1	eggnog	C-terminal domain of 1-Cys peroxiredoxin	0	2	8
Phum-OR502AA_029_000036.1	interproscan	PTHR31737 domain-containing protein	0	0	17.934
Phum-OR502AA_029_000037.1	interproscan	WLGC domain (PF26605)	0	109.501	92.99
Phum-OR502AA_029_000086.1	eggnog	sulfur oxidation	91.359	480.67	578.228
Phum-OR502AA_029_000038.1	eggnog	sulfur oxidation	19.641	919.33	748.772
Phum-OR502AA_029_000085.1	interproscan	WLGC domain (PF26605)	3	120.499	136.01
Phum-OR502AA_029_000084.1	interproscan	PTHR31737 domain-containing protein	81	153	213.066
Phum-OR502AA_029_000039.1	eggnog	Zinc finger, C2H2 type	712	1175	1540
Phum-OR502AA_029_000040.1	eggnog	heat shock factor	33	91	148
Phum-OR502AA_029_000083.1	eggnog	heat shock factor	8	47	96
Phum-OR502AA_029_000082.1	interproscan	PTHR35606 domain-containing protein	5	3	11
Phum-OR502AA_029_000081.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	24	15	20
Phum-OR502AA_029_000041.1	eggnog	FYVE zinc finger	221	175	262
Phum-OR502AA_029_000042.1	eggnog	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	104	159	265
Phum-OR502AA_029_000080.1	blastp	Homology to Phytophthora rubi predicted protein KAE8984047.1	42	75	61
Phum-OR502AA_029_000043.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7377969.1	254	273	377
Phum-OR502AA_029_000044.1	interproscan	PTHR46586 domain-containing protein	37	23	61
Phum-OR502AA_029_000079.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0477591.1	1156	1722	2409
Phum-OR502AA_029_000045.1	eggnog	domain-containing protein	141	180	261
Phum-OR502AA_029_000078.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ07700.1	11.704	2.276	8.772
Phum-OR502AA_029_000046.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ07700.1	19.296	10.724	14.228
Phum-OR502AA_029_000047.1	eggnog	NmrA-like family	112	26	34
Phum-OR502AA_029_000048.1	interproscan	PTHR31827 domain-containing protein	0	4	13
Phum-OR502AA_029_000077.1	eggnog	Protein of unknown function (DUF563)	204	679	982
Phum-OR502AA_029_000049.1	blastp	Homology to Phytophthora infestans predicted protein KAF4028989.1	0	0	6.357
Phum-OR502AA_029_000050.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2852267.1	0	1	8
Phum-OR502AA_029_000051.1	eggnog	Glycosyl hydrolases family 43	1077	918	1718
Phum-OR502AA_029_000052.1	eggnog	Magnesium transporter NIPA	733	1105	1675
Phum-OR502AA_029_000076.1	eggnog	WD domain, G-beta repeat	70	700	535
Phum-OR502AA_029_000053.1	eggnog	Clathrin adaptor complex small chain	4	106	61
Phum-OR502AA_029_000075.1	blastp	Homology to Phytophthora cactorum predicted protein KAF1793471.1	3	12	27.643
Phum-OR502AA_029_000074.1	eggnog	Dimerisation domain of Zinc Transporter	91	213	265
Phum-OR502AA_029_000054.1	eggnog	domain-containing protein	31.353	49.248	78.192
Phum-OR502AA_029_000073.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_029_000072.1	eggnog	domain-containing protein	0	0	2
Phum-OR502AA_029_000071.1	eggnog	domain-containing protein	2503.646	3124.716	4045.035
Phum-OR502AA_029_000070.1	eggnog	Protein tyrosine kinase	82	164	279
Phum-OR502AA_029_000055.1	eggnog	Adaptor complexes medium subunit family	1200	1496	2222
Phum-OR502AA_029_000069.1	eggnog	Actin	112	127	191
Phum-OR502AA_029_000056.1	eggnog	domain-containing protein	97	168	266
Phum-OR502AA_029_000057.1	eggnog	domain-containing protein	0	9.034	4.772
Phum-OR502AA_029_000068.1	eggnog	domain-containing protein	2	4	3
Phum-OR502AA_029_000058.1	eggnog	domain-containing protein	1.001	3.002	1.001
Phum-OR502AA_029_000059.1	interproscan	PTHR16320 domain-containing protein	781	1667	2019
Phum-OR502AA_029_000060.1	eggnog	domain-containing protein	153	294	487
Phum-OR502AA_029_000061.1	blastp	Homology to Phytophthora lilii predicted protein GMF65243.1	24	62	64
Phum-OR502AA_029_000067.1	eggnog	CAP_GLY	164	1111	633
Phum-OR502AA_029_000066.1	eggnog	domain-containing protein	1081	2908	3146
Phum-OR502AA_029_000062.1	interproscan	PTHR39200 domain-containing protein	4440	5746	8139
Phum-OR502AA_029_000063.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6622842.1	206	437	682
Phum-OR502AA_029_000064.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_029_000065.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_030_000001.1	blastp	Homology to Aphanomyces stellatus predicted protein KAF0713434.1	209.686	407.798	469.96
Phum-OR502AA_030_000006.1	blastp	Homology to Aphanomyces stellatus predicted protein KAF0713434.1	0	0	0
Phum-OR502AA_030_000002.1	blastp	Homology to Aphanomyces stellatus predicted protein KAF0713434.1	42.008	87.235	103.334
Phum-OR502AA_030_000003.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_030_000005.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_030_000004.1	blastp	Homology to Aphanomyces stellatus predicted protein KAF0713434.1	41.992	148.991	188
Phum-OR502AA_031_000185.1	eggnog	Crinkler (CRN) family protein	15.869	46.964	57.856
Phum-OR502AA_031_000001.1	eggnog	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases	102.011	118.937	253.845
Phum-OR502AA_031_000184.1	interproscan	PTHR39290 domain-containing protein	131.605	68.783	132.896
Phum-OR502AA_031_000183.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_031_000182.1	eggnog	transferase activity, transferring hexosyl groups	5	1	3
Phum-OR502AA_031_000002.1	interproscan	PTHR13510 domain-containing protein	80.161	150.961	164.426
Phum-OR502AA_031_000181.1	interproscan	PTHR13510 domain-containing protein	0	6.666	10.592
Phum-OR502AA_031_000180.1	interproscan	PTHR13510 domain-containing protein	4.195	0	0
Phum-OR502AA_031_000179.1	interproscan	PTHR13510 domain-containing protein	0	0	0
Phum-OR502AA_031_000178.1	interproscan	PTHR13510 domain-containing protein	0	0	0
Phum-OR502AA_031_000177.1	interproscan	PTHR13510 domain-containing protein	1.645	20.373	29.35
Phum-OR502AA_031_000003.1	interproscan	PTHR39290 domain-containing protein	114.395	100.217	114.104
Phum-OR502AA_031_000176.1	eggnog	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases	108.989	243.063	140.155
Phum-OR502AA_031_000004.1	interproscan	PTHR13510 domain-containing protein	456	330	1003.632
Phum-OR502AA_031_000005.1	unannotated	Hypothetical protein of unknown function	806	1438	2687
Phum-OR502AA_031_000006.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7381532.1	2	32	30
Phum-OR502AA_031_000175.1	interproscan	PTHR37935 domain-containing protein	165	231	275
Phum-OR502AA_031_000174.1	eggnog	Tup N-terminal	1907	2246	3382
Phum-OR502AA_031_000173.1	eggnog	Rho guanyl-nucleotide exchange factor activity	245	503	791
Phum-OR502AA_031_000007.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7485190.1	3	23	18
Phum-OR502AA_031_000008.1	eggnog	Ubiquitin family	11	47	64
Phum-OR502AA_031_000172.1	eggnog	Ubiquitin carboxyl-terminal hydrolase	248	345	447
Phum-OR502AA_031_000009.1	eggnog	Ribonuclease T2 family	668	961	1228
Phum-OR502AA_031_000171.1	interproscan	PTHR35213 domain-containing protein	340	1183	1183
Phum-OR502AA_031_000170.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0474374.1	563	1028	1332
Phum-OR502AA_031_000010.1	eggnog	dynein light chain binding	135	387	341
Phum-OR502AA_031_000169.1	interproscan	PTHR37558 domain-containing protein	713	1041	1423
Phum-OR502AA_031_000011.1	eggnog	Enoyl-(Acyl carrier protein) reductase	370	405	652
Phum-OR502AA_031_000168.1	eggnog	WD domain, G-beta repeat	201	363	450
Phum-OR502AA_031_000167.1	unannotated	Hypothetical protein of unknown function	2.982	4.148	5.298
Phum-OR502AA_031_000166.1	blastp	Homology to Peronospora destructor predicted protein CAI5744455.1	12.894	42.311	40.384
Phum-OR502AA_031_000012.1	unannotated	Hypothetical protein of unknown function	353	357	578
Phum-OR502AA_031_000013.1	blastp	Homology to Peronospora effusa predicted protein RQM15819.1	22.124	53.541	94.318
Phum-OR502AA_031_000165.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008905950.1	4003	5284	7108
Phum-OR502AA_031_000164.1	eggnog	domain-containing protein	775	626	917
Phum-OR502AA_031_000014.1	eggnog	Glutaredoxin	276	293	403
Phum-OR502AA_031_000163.1	eggnog	ADP-specific Phosphofructokinase/Glucokinase conserved region	1135	1875	2612
Phum-OR502AA_031_000162.1	eggnog	Domain Homologous to E6-AP Carboxyl Terminus with	310	564	690
Phum-OR502AA_031_000161.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7375786.1	2	5.08	20.419
Phum-OR502AA_031_000160.1	eggnog	Tat binding protein 1(TBP-1)-interacting protein (TBPIP)	132	237	335
Phum-OR502AA_031_000159.1	eggnog	domain-containing protein	322.76	298.134	723
Phum-OR502AA_031_000015.1	eggnog	Aminotransferase class-V	1105.01	1120.275	1672.125
Phum-OR502AA_031_000158.1	unannotated	Hypothetical protein of unknown function	239	371	631
Phum-OR502AA_031_000016.1	eggnog	domain-containing protein	52	89	122
Phum-OR502AA_031_000017.1	eggnog	Removes the formyl group from the N-terminal Met of newly synthesized proteins	56	50	52
Phum-OR502AA_031_000157.1	interproscan	PTHR43404 domain-containing protein	145	276	396
Phum-OR502AA_031_000156.1	eggnog	Tub family	382	607	1005
Phum-OR502AA_031_000155.1	eggnog	Aminotransferase class-V	1093.99	1210.725	1661.875
Phum-OR502AA_031_000018.1	eggnog	domain-containing protein	591.24	551.866	938
Phum-OR502AA_031_000019.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7375786.1	2	11.92	10.581
Phum-OR502AA_031_000020.1	eggnog	C-terminus of AA_permease	125	242	240
Phum-OR502AA_031_000154.1	eggnog	Ankyrin repeats (3 copies)	57	599	438
Phum-OR502AA_031_000153.1	interproscan	PTHR13510 domain-containing protein	132	340	642
Phum-OR502AA_031_000021.1	eggnog	Belongs to the mitochondrial carrier (TC 2.A.29) family	49	74	90
Phum-OR502AA_031_000152.1	eggnog	WD40 repeats	262	365	510
Phum-OR502AA_031_000151.1	blastp	Homology to Phytophthora cactorum predicted protein KAF1772407.1	294	308	462
Phum-OR502AA_031_000022.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7379254.1	112.648	224.726	316.995
Phum-OR502AA_031_000150.1	eggnog	Tetratricopeptide repeat	46.275	60.547	72.299
Phum-OR502AA_031_000023.1	eggnog	Tetratricopeptide repeat	69.725	103.453	123.701
Phum-OR502AA_031_000149.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7379254.1	167.352	307.274	401.005
Phum-OR502AA_031_000024.1	eggnog	Domain Homologous to E6-AP Carboxyl Terminus with	166	257	414
Phum-OR502AA_031_000025.1	eggnog	Isochorismatase family	547	834	1098
Phum-OR502AA_031_000148.1	interproscan	PTHR31827 domain-containing protein	339	311	505
Phum-OR502AA_031_000026.1	blastp	Homology to Phytophthora megakarya predicted protein OWY96431.1	13	33	61
Phum-OR502AA_031_000027.1	eggnog	Phosphopantetheine attachment site	708	829	1237
Phum-OR502AA_031_000147.1	eggnog	MatE	10.818	109.603	187.954
Phum-OR502AA_031_000146.1	eggnog	MatE	91.025	109.447	189.716
Phum-OR502AA_031_000145.1	eggnog	MatE	38.6	110.079	132.567
Phum-OR502AA_031_000028.1	eggnog	MatE	0	3.663	14.806
Phum-OR502AA_031_000029.1	eggnog	MatE	41.557	54.208	113.958
Phum-OR502AA_031_000030.1	eggnog	domain-containing protein	280	352	624
Phum-OR502AA_031_000031.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7485257.1	1	21	30
Phum-OR502AA_031_000032.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ09516.1	28	33	48
Phum-OR502AA_031_000144.1	interproscan	PTHR13510 domain-containing protein	379	640	674
Phum-OR502AA_031_000033.1	interproscan	PTHR13510 domain-containing protein	54.329	133.54	140.233
Phum-OR502AA_031_000143.1	interproscan	PTHR13510 domain-containing protein	2	22	11
Phum-OR502AA_031_000142.1	interproscan	PTHR13510 domain-containing protein	112.671	220.46	269.767
Phum-OR502AA_031_000141.1	interproscan	PTHR13510 domain-containing protein	80	133	157
Phum-OR502AA_031_000140.1	interproscan	PTHR13510 domain-containing protein	793	942	1054
Phum-OR502AA_031_000034.1	interproscan	PTHR13510 domain-containing protein	157	145	178
Phum-OR502AA_031_000035.1	interproscan	PTHR13510 domain-containing protein	198	320	665
Phum-OR502AA_031_000036.1	interproscan	PTHR13510 domain-containing protein	1074.375	729.945	692.682
Phum-OR502AA_031_000139.1	interproscan	PTHR13510 domain-containing protein	222.625	396.055	726.318
Phum-OR502AA_031_000138.1	interproscan	PTHR13510 domain-containing protein	37	34	59
Phum-OR502AA_031_000037.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0478491.1	469	1018	1690
Phum-OR502AA_031_000137.1	interproscan	PTHR31145 domain-containing protein	406	853	1185
Phum-OR502AA_031_000136.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_031_000038.1	eggnog	ribosomal L5P family C-terminus	18826	18090	25925
Phum-OR502AA_031_000135.1	eggnog	domain-containing protein	427	706	830
Phum-OR502AA_031_000039.1	eggnog	polynucleotide adenylyltransferase activity	73	150	160
Phum-OR502AA_031_000134.1	eggnog	Amidohydrolase family	469	461	602
Phum-OR502AA_031_000040.1	eggnog	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2202	2396	3207
Phum-OR502AA_031_000041.1	eggnog	domain-containing protein	80	353	400
Phum-OR502AA_031_000133.1	eggnog	Coiled-coil domain-containing protein 55 (DUF2040)	160	198	250
Phum-OR502AA_031_000132.1	eggnog	Ribosomal large subunit proteins 60S L5, and 50S L18	29192	24006	32278
Phum-OR502AA_031_000042.1	eggnog	Ribosomal protein L14	12054	10844	14596
Phum-OR502AA_031_000131.1	eggnog	Extension to Ser/Thr-type protein kinases	1848	2820	3952
Phum-OR502AA_031_000043.1	blastp	Homology to Phytophthora cactorum predicted protein KAF1776154.1	95	244	279
Phum-OR502AA_031_000130.1	interproscan	PTHR37558 domain-containing protein	234	385	500
Phum-OR502AA_031_000044.1	eggnog	16S rRNA methyltransferase RsmB/F	140	84	164
Phum-OR502AA_031_000129.1	eggnog	domain-containing protein	53.718	161.396	258.584
Phum-OR502AA_031_000045.1	eggnog	domain-containing protein	12.282	10.604	17.416
Phum-OR502AA_031_000046.1	eggnog	domain-containing protein	12	27	41
Phum-OR502AA_031_000047.1	eggnog	domain-containing protein	23	15	51
Phum-OR502AA_031_000128.1	eggnog	Mannosyltransferase putative	64	156	176
Phum-OR502AA_031_000048.1	eggnog	Tetratricopeptide repeats	208	498	485
Phum-OR502AA_031_000127.1	eggnog	domain-containing protein	292	187	222
Phum-OR502AA_031_000049.1	eggnog	Clathrin-adaptor complex-3 beta-1 subunit C-terminal	804	1143	1492
Phum-OR502AA_031_000050.1	eggnog	B-cell receptor-associated protein 31-like	864	1644	2099
Phum-OR502AA_031_000126.1	blastp	Homology to Peronospora farinosa predicted protein CAI5719342.1	88	272	332
Phum-OR502AA_031_000125.1	eggnog	Mannosyltransferase putative	6	30	38
Phum-OR502AA_031_000051.1	eggnog	WD domain, G-beta repeat	681	971	1293
Phum-OR502AA_031_000124.1	eggnog	domain-containing protein	254	359	504
Phum-OR502AA_031_000052.1	eggnog	Performs the first committed step in the biosynthesis of isoprenes	129	187	196
Phum-OR502AA_031_000123.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2777678.1	39	128	188
Phum-OR502AA_031_000053.1	unannotated	Hypothetical protein of unknown function	0	3	3
Phum-OR502AA_031_000054.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_031_000055.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_031_000056.1	eggnog	Uncharacterised protein family (UPF0160)	712.12	622.014	716.819
Phum-OR502AA_031_000122.1	eggnog	Uncharacterised protein family (UPF0160)	688.864	713.982	880.169
Phum-OR502AA_031_000057.1	eggnog	Uncharacterised protein family (UPF0160)	0	0	0
Phum-OR502AA_031_000058.1	eggnog	16S rRNA methyltransferase RsmB/F	0	0	0
Phum-OR502AA_031_000121.1	eggnog	Uncharacterised protein family (UPF0160)	11.016	11.003	5.012
Phum-OR502AA_031_000059.1	eggnog	16S rRNA methyltransferase RsmB/F	0	0	2
Phum-OR502AA_031_000060.1	eggnog	16S rRNA methyltransferase RsmB/F	0	5	7
Phum-OR502AA_031_000061.1	eggnog	domain-containing protein	96	95	135
Phum-OR502AA_031_000120.1	eggnog	domain-containing protein	379	1672	2147
Phum-OR502AA_031_000119.1	eggnog	CorA-like Mg2+ transporter protein	197	280	405
Phum-OR502AA_031_000118.1	unannotated	Hypothetical protein of unknown function	9	20	34
Phum-OR502AA_031_000062.1	unannotated	Hypothetical protein of unknown function	0	2	2
Phum-OR502AA_031_000063.1	blastp	Homology to Phytophthora lilii predicted protein GMF19361.1	3	16	11
Phum-OR502AA_031_000064.1	blastp	Homology to Peronosclerospora sorghi predicted protein KAI9910028.1	81	132	159
Phum-OR502AA_031_000117.1	eggnog	Hsp70 protein	4059	4390	5750
Phum-OR502AA_031_000116.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8938453.1	1	17	15
Phum-OR502AA_031_000115.1	eggnog	C3HC zinc finger-like	276	353	451
Phum-OR502AA_031_000065.1	eggnog	RNA recognition motif	399	325	509
Phum-OR502AA_031_000114.1	eggnog	DNA methyltransferase 1-associated protein 1 (DMAP1)	290	418	681
Phum-OR502AA_031_000066.1	interproscan	G3DSA:1.20.5.430 domain-containing protein	13	21	25
Phum-OR502AA_031_000067.1	eggnog	Heat shock factor binding protein 1	3	1	5
Phum-OR502AA_031_000113.1	eggnog	MreB/Mbl protein	4554.251	3464.886	4383.795
Phum-OR502AA_031_000112.1	unannotated	Hypothetical protein of unknown function	12070.841	15690.073	20038.815
Phum-OR502AA_031_000068.1	eggnog	domain-containing protein	3134.423	2639.451	3989.435
Phum-OR502AA_031_000111.1	eggnog	Protein DA1	556.767	963.602	1146.209
Phum-OR502AA_031_000110.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8886510.1	8.027	9.997	13.383
Phum-OR502AA_031_000069.1	eggnog	Protein DA1	711.969	1451.208	1381.412
Phum-OR502AA_031_000109.1	eggnog	domain-containing protein	9027.3	7653.061	9739.574
Phum-OR502AA_031_000070.1	unannotated	Hypothetical protein of unknown function	22528.349	21463.212	42280.705
Phum-OR502AA_031_000071.1	eggnog	MreB/Mbl protein	997.749	724.704	1305.205
Phum-OR502AA_031_000072.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8886510.1	0	0	0
Phum-OR502AA_031_000073.1	eggnog	Protein DA1	0	0	423.062
Phum-OR502AA_031_000108.1	eggnog	domain-containing protein	4194.503	3397.281	5440.769
Phum-OR502AA_031_000074.1	unannotated	Hypothetical protein of unknown function	203.125	304.716	369.48
Phum-OR502AA_031_000075.1	eggnog	MreB/Mbl protein	0	233.41	0
Phum-OR502AA_031_000076.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8886510.1	0	0	58.617
Phum-OR502AA_031_000077.1	eggnog	Protein DA1	115.35	48.031	58.134
Phum-OR502AA_031_000107.1	eggnog	domain-containing protein	386.194	415.316	771.396
Phum-OR502AA_031_000078.1	unannotated	Hypothetical protein of unknown function	21.685	0	0
Phum-OR502AA_031_000079.1	eggnog	MreB/Mbl protein	0	0	0
Phum-OR502AA_031_000080.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8886510.1	0	0	0
Phum-OR502AA_031_000081.1	eggnog	Protein DA1	118.914	262.159	200.183
Phum-OR502AA_031_000106.1	eggnog	domain-containing protein	3615.58	2562.891	3522.826
Phum-OR502AA_031_000082.1	unannotated	Hypothetical protein of unknown function	12	37	43
Phum-OR502AA_031_000105.1	eggnog	Belongs to the glycosyl hydrolase 1 family	581	1443	1826
Phum-OR502AA_031_000104.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8886510.1	24.973	61.003	0
Phum-OR502AA_031_000083.1	eggnog	TIM21	565	542	822
Phum-OR502AA_031_000103.1	eggnog	Interferon-related developmental regulator (IFRD)	154	372	387
Phum-OR502AA_031_000084.1	eggnog	domain-containing protein	334	389	534
Phum-OR502AA_031_000102.1	eggnog	Domain of unknown function (DUF4586)	0	75	158
Phum-OR502AA_031_000085.1	eggnog	ER protein Pkr1	86	103	136
Phum-OR502AA_031_000101.1	eggnog	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex	97	228	228
Phum-OR502AA_031_000086.1	eggnog	Nucleoporin Nup120/160	892	1077	1449
Phum-OR502AA_031_000100.1	eggnog	CBF/Mak21 family	422	428	496
Phum-OR502AA_031_000099.1	eggnog	Acetokinase family	196	162	311
Phum-OR502AA_031_000098.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7485389.1	81	255	296
Phum-OR502AA_031_000087.1	eggnog	Pectinacetylesterase	2.705	22.228	54.439
Phum-OR502AA_031_000088.1	eggnog	domain-containing protein	108.283	180.596	171.466
Phum-OR502AA_031_000097.1	eggnog	domain-containing protein	98	103	163
Phum-OR502AA_031_000096.1	eggnog	domain-containing protein	197.717	307.404	285.534
Phum-OR502AA_031_000095.1	eggnog	Pectinacetylesterase	12.295	11.772	14.561
Phum-OR502AA_031_000089.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2777757.1	51	186	192
Phum-OR502AA_031_000094.1	eggnog	Coiled-coil domain-containing protein 87	25	113	132
Phum-OR502AA_031_000090.1	eggnog	Mannosyltransferase putative	1	15	16
Phum-OR502AA_031_000091.1	eggnog	Subtilase family	39	238	514
Phum-OR502AA_031_000092.1	interproscan	PTHR10760 domain-containing protein	65	122	185
Phum-OR502AA_031_000093.1	eggnog	domain-containing protein	0	0	0
Phum-OR502AA_032_000001.1	blastp	Homology to Peronospora destructor predicted protein CAI5737246.1	7.37	25.737	27.634
Phum-OR502AA_032_000002.1	blastp	Homology to Phytophthora rubi predicted protein KAE8991875.1	39.266	118.498	119.268
Phum-OR502AA_032_000003.1	blastp	Homology to Peronospora destructor predicted protein CAI5722373.1	90.239	85.767	117.551
Phum-OR502AA_032_000004.1	eggnog	Ankyrin repeat	207	316	548
Phum-OR502AA_032_000005.1	blastp	Homology to predicted protein KAH7506993.1	9.552	26.818	26.35
Phum-OR502AA_032_000006.1	blastp	Homology to Phytophthora rubi predicted protein KAE8991875.1	14.734	100.135	122.576
Phum-OR502AA_032_000118.1	blastp	Homology to Peronospora destructor predicted protein CAI5722373.1	53.507	81.187	85.909
Phum-OR502AA_032_000007.1	unannotated	Hypothetical protein of unknown function	10.332	14.889	18.556
Phum-OR502AA_032_000008.1	unannotated	Hypothetical protein of unknown function	4.68	10.216	10.117
Phum-OR502AA_032_000009.1	blastp	Homology to Phytophthora rubi predicted protein KAE8991875.1	1	14.367	7.156
Phum-OR502AA_032_000117.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0479521.1	0	0	1.265
Phum-OR502AA_032_000010.1	unannotated	Hypothetical protein of unknown function	8.32	27.386	43.619
Phum-OR502AA_032_000116.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6947533.1	0	106	232
Phum-OR502AA_032_000115.1	blastp	Homology to Phytophthora fragariaefolia predicted protein GMF53523.1	1	25	24
Phum-OR502AA_032_000011.1	eggnog	DHHC palmitoyltransferase	35	50	83
Phum-OR502AA_032_000114.1	eggnog	Calreticulin family	10019	8728	13193
Phum-OR502AA_032_000113.1	eggnog	domain-containing protein	737	2456	3635
Phum-OR502AA_032_000012.1	eggnog	Glucose inhibited division protein A	4620	4806	6852
Phum-OR502AA_032_000112.1	eggnog	Ribosomal protein L1p/L10e family	29923	28793	38595
Phum-OR502AA_032_000111.1	unannotated	Hypothetical protein of unknown function	3	5	6
Phum-OR502AA_032_000110.1	eggnog	domain-containing protein	3	2	5
Phum-OR502AA_032_000109.1	eggnog	Glycosyltransferase (GlcNAc)	1407	2138	2119
Phum-OR502AA_032_000108.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	0
Phum-OR502AA_032_000107.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	0
Phum-OR502AA_032_000106.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	3	0
Phum-OR502AA_032_000105.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	0
Phum-OR502AA_032_000104.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	1	0
Phum-OR502AA_032_000103.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	4	1
Phum-OR502AA_032_000102.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	2
Phum-OR502AA_032_000101.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	0
Phum-OR502AA_032_000100.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	0
Phum-OR502AA_032_000099.1	blastp	Homology to Peronospora farinosa predicted protein CAI5707325.1	0	0	0
